Problem,,,Constructive algorithm,,,Local search,,GRASP,,Known best solution or upper bound
Name,|V| or n,|E| or m,Simple Randomized or Randomized-1,Simple Greedy or Greedy-1,Semi-greedy-1 (alpha=0.5),No. of iterations,Average value,No. of iterations,Best value, 
g1,800,19176,9602,10956,11102,79,11322,50,11444,12078
g2,800,19176,9590,11030,11155,80,11365,50,11433,12084
g3,800,19176,9591,11012,11158,75,11387,50,11442,12077
g4,800,19176,9592,11031,11133,99,11386,50,11456,N/A
g5,800,19176,9583,10990,11077,95,11336,50,11473,N/A
g6,800,19176,73,1515,1650,65,1827,50,1982,N/A
g7,800,19176,-66,1362,1482,90,1743,50,1800,N/A
g8,800,19176,-70,1331,1452,99,1725,50,1825,N/A
g9,800,19176,-44,1507,1543,97,1826,50,1841,N/A
g10,800,19176,-80,1350,1473,92,1736,50,1825,N/A
g11,800,1600,19,434,428,14,456,50,480,627
g12,800,1600,-1,418,422,11,444,50,460,621
g13,800,1600,18,432,412,11,436,50,494,645
g14,800,4694,2339,2890,2922,20,2951,50,2981,3187
g15,800,4661,2330,2873,2934,28,2969,50,2971,3169
g16,800,4672,2340,2878,2932,28,2967,50,2978,3172
g17,800,4667,2326,2864,2926,32,2966,50,2973,N/A
g18,800,4694,39,780,775,63,888,50,888,N/A
g19,800,4661,-68,681,612,73,736,50,806,N/A
g20,800,4672,-14,698,642,62,769,50,842,N/A
g21,800,4667,-39,704,638,89,781,50,847,N/A
g22,2000,19990,9988,12346,12666,118,12897,50,12994,14123
g23,2000,19990,9994,12291,12710,101,12932,50,12983,14129
g24,2000,19990,10009,12367,12703,102,12888,50,12990,14131
g25,2000,19990,9986,12408,12716,119,12923,50,12974,N/A
g26,2000,19990,9993,12355,12652,104,12863,50,12981,N/A
g27,2000,19990,-9,2316,2464,184,2835,50,2884,N/A
g28,2000,19990,-53,2329,2339,200,2753,50,2879,N/A
g29,2000,19990,49,2367,2516,200,2922,50,3001,N/A
g30,2000,19990,33,2401,2486,184,2867,50,3000,N/A
g31,2000,19990,-22,2290,2370,257,2867,50,2902,N/A
g32,2000,4000,14,1058,1070,32,1134,50,1154,1560
g33,2000,4000,-14,1000,1034,31,1096,50,1140,1537
g34,2000,4000,-22,988,1062,32,1126,50,1134,1541
g35,2000,11778,5878,7252,7369,46,7428,50,7482,8000
g36,2000,11766,5879,7225,7352,55,7425,50,7458,7996
g37,2000,11785,5900,7264,7359,55,7431,50,7483,8009
g38,2000,11779,5883,7305,7350,61,7435,50,7486,N/A
g39,2000,11778,15,1861,1678,208,2049,50,2101,N/A
g40,2000,11766,-48,1834,1680,189,2008,50,2069,N/A
g41,2000,11785,-26,1876,1738,156,2025,50,2100,N/A
g42,2000,11779,68,1989,1747,148,2012,50,2160,N/A
g43,1000,9990,5006,6188,6340,79,6485,50,6510,7027
g44,1000,9990,4991,6157,6296,55,6412,50,6502,7022
g45,1000,9990,4996,6179,6305,70,6427,50,6487,7020
g46,1000,9990,5002,6150,6289,61,6388,50,6496,N/A
g47,1000,9990,4987,6220,6349,67,6482,50,6504,N/A
g48,3000,6000,3005,6000,6000,0,6000,50,6000,6000
g49,3000,6000,2985,6000,6000,0,6000,50,6000,6000
g50,3000,6000,3002,5880,5856,1,5858,50,5870,5988
g51,1000,5909,2951,3626,3677,28,3721,50,3752,N/A
g52,1000,5916,2961,3650,3691,28,3732,50,3754,N/A
g53,1000,5914,2954,3632,3704,27,3738,50,3746,N/A
g54,1000,5916,2967,3633,3684,32,3724,50,3746,N/A
